model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
custom_cnn,0.4144,0.3743,0.3874,0.3786,0.4565
transfer_mobilenetv2,0.7647,0.7284,0.7613,0.7676,0.7292
